Contact name input ▽,processing,,,,,,,,#1 Frame nodes,
Frame contact No.,X,Y,Z,接点名,３D,X,Y,Z,Top of upper level sandbag with foundation on top,
201,0.900 ,0.900 ,3.200 ,       201,        3D,     0.900,     0.900,     3.200,       201        3D     0.900     0.900     3.200,
202,6.900 ,0.900 ,3.200 ,       202,        3D,     6.900,     0.900,     3.200,       202        3D     6.900     0.900     3.200,
203,12.900 ,0.900 ,3.200 ,       203,        3D,    12.900,     0.900,     3.200,       203        3D    12.900     0.900     3.200,
204,18.900 ,0.900 ,3.200 ,       204,        3D,    18.900,     0.900,     3.200,       204        3D    18.900     0.900     3.200,
205,0.900 ,9.900 ,3.200 ,       205,        3D,     0.900,     9.900,     3.200,       205        3D     0.900     9.900     3.200,
206,6.900 ,9.900 ,3.200 ,       206,        3D,     6.900,     9.900,     3.200,       206        3D     6.900     9.900     3.200,
207,12.900 ,9.900 ,3.200 ,       207,        3D,    12.900,     9.900,     3.200,       207        3D    12.900     9.900     3.200,
208,18.900 ,9.900 ,3.200 ,       208,        3D,    18.900,     9.900,     3.200,       208        3D    18.900     9.900     3.200,
301,0.900 ,0.900 ,6.400 ,       301,        3D,     0.900,     0.900,     6.400,       301        3D     0.900     0.900     6.400,
302,6.900 ,0.900 ,6.400 ,       302,        3D,     6.900,     0.900,     6.400,       302        3D     6.900     0.900     6.400,
303,12.900 ,0.900 ,6.400 ,       303,        3D,    12.900,     0.900,     6.400,       303        3D    12.900     0.900     6.400,
304,18.900 ,0.900 ,6.400 ,       304,        3D,    18.900,     0.900,     6.400,       304        3D    18.900     0.900     6.400,
305,0.900 ,9.900 ,6.400 ,       305,        3D,     0.900,     9.900,     6.400,       305        3D     0.900     9.900     6.400,
306,6.900 ,9.900 ,6.400 ,       306,        3D,     6.900,     9.900,     6.400,       306        3D     6.900     9.900     6.400,
307,12.900 ,9.900 ,6.400 ,       307,        3D,    12.900,     9.900,     6.400,       307        3D    12.900     9.900     6.400,
308,18.900 ,9.900 ,6.400 ,       308,        3D,    18.900,     9.900,     6.400,       308        3D    18.900     9.900     6.400,
401,0.900 ,0.900 ,9.600 ,       401,        3D,     0.900,     0.900,     9.600,       401        3D     0.900     0.900     9.600,
402,6.900 ,0.900 ,9.600 ,       402,        3D,     6.900,     0.900,     9.600,       402        3D     6.900     0.900     9.600,
403,12.900 ,0.900 ,9.600 ,       403,        3D,    12.900,     0.900,     9.600,       403        3D    12.900     0.900     9.600,
404,18.900 ,0.900 ,9.600 ,       404,        3D,    18.900,     0.900,     9.600,       404        3D    18.900     0.900     9.600,
405,0.900 ,9.900 ,9.600 ,       405,        3D,     0.900,     9.900,     9.600,       405        3D     0.900     9.900     9.600,
406,6.900 ,9.900 ,9.600 ,       406,        3D,     6.900,     9.900,     9.600,       406        3D     6.900     9.900     9.600,
407,12.900 ,9.900 ,9.600 ,       407,        3D,    12.900,     9.900,     9.600,       407        3D    12.900     9.900     9.600,
408,18.900 ,9.900 ,9.600 ,       408,        3D,    18.900,     9.900,     9.600,       408        3D    18.900     9.900     9.600,
1101,0.000 ,0.000 ,0.000 ,      1101,        3D,     0.000,     0.000,     0.000,      1101        3D     0.000     0.000     0.000,
1102,0.450 ,0.000 ,0.000 ,      1102,        3D,     0.450,     0.000,     0.000,      1102        3D     0.450     0.000     0.000,
1103,0.900 ,0.000 ,0.000 ,      1103,        3D,     0.900,     0.000,     0.000,      1103        3D     0.900     0.000     0.000,
1104,1.350 ,0.000 ,0.000 ,      1104,        3D,     1.350,     0.000,     0.000,      1104        3D     1.350     0.000     0.000,
1105,1.800 ,0.000 ,0.000 ,      1105,        3D,     1.800,     0.000,     0.000,      1105        3D     1.800     0.000     0.000,
1106,6.000 ,0.000 ,0.000 ,      1106,        3D,     6.000,     0.000,     0.000,      1106        3D     6.000     0.000     0.000,
1107,6.450 ,0.000 ,0.000 ,      1107,        3D,     6.450,     0.000,     0.000,      1107        3D     6.450     0.000     0.000,
1108,6.900 ,0.000 ,0.000 ,      1108,        3D,     6.900,     0.000,     0.000,      1108        3D     6.900     0.000     0.000,
1109,7.350 ,0.000 ,0.000 ,      1109,        3D,     7.350,     0.000,     0.000,      1109        3D     7.350     0.000     0.000,
1110,7.800 ,0.000 ,0.000 ,      1110,        3D,     7.800,     0.000,     0.000,      1110        3D     7.800     0.000     0.000,
1111,12.000 ,0.000 ,0.000 ,      1111,        3D,    12.000,     0.000,     0.000,      1111        3D    12.000     0.000     0.000,
1112,12.450 ,0.000 ,0.000 ,      1112,        3D,    12.450,     0.000,     0.000,      1112        3D    12.450     0.000     0.000,
1113,12.900 ,0.000 ,0.000 ,      1113,        3D,    12.900,     0.000,     0.000,      1113        3D    12.900     0.000     0.000,
1114,13.350 ,0.000 ,0.000 ,      1114,        3D,    13.350,     0.000,     0.000,      1114        3D    13.350     0.000     0.000,
1115,13.800 ,0.000 ,0.000 ,      1115,        3D,    13.800,     0.000,     0.000,      1115        3D    13.800     0.000     0.000,
1116,18.000 ,0.000 ,0.000 ,      1116,        3D,    18.000,     0.000,     0.000,      1116        3D    18.000     0.000     0.000,
1117,18.450 ,0.000 ,0.000 ,      1117,        3D,    18.450,     0.000,     0.000,      1117        3D    18.450     0.000     0.000,
1118,18.900 ,0.000 ,0.000 ,      1118,        3D,    18.900,     0.000,     0.000,      1118        3D    18.900     0.000     0.000,
1119,19.350 ,0.000 ,0.000 ,      1119,        3D,    19.350,     0.000,     0.000,      1119        3D    19.350     0.000     0.000,
1120,19.800 ,0.000 ,0.000 ,      1120,        3D,    19.800,     0.000,     0.000,      1120        3D    19.800     0.000     0.000,
1121,0.000 ,0.450 ,0.000 ,      1121,        3D,     0.000,     0.450,     0.000,      1121        3D     0.000     0.450     0.000,
1122,0.450 ,0.450 ,0.000 ,      1122,        3D,     0.450,     0.450,     0.000,      1122        3D     0.450     0.450     0.000,
1123,0.900 ,0.450 ,0.000 ,      1123,        3D,     0.900,     0.450,     0.000,      1123        3D     0.900     0.450     0.000,
1124,1.350 ,0.450 ,0.000 ,      1124,        3D,     1.350,     0.450,     0.000,      1124        3D     1.350     0.450     0.000,
1125,1.800 ,0.450 ,0.000 ,      1125,        3D,     1.800,     0.450,     0.000,      1125        3D     1.800     0.450     0.000,
1126,6.000 ,0.450 ,0.000 ,      1126,        3D,     6.000,     0.450,     0.000,      1126        3D     6.000     0.450     0.000,
1127,6.450 ,0.450 ,0.000 ,      1127,        3D,     6.450,     0.450,     0.000,      1127        3D     6.450     0.450     0.000,
1128,6.900 ,0.450 ,0.000 ,      1128,        3D,     6.900,     0.450,     0.000,      1128        3D     6.900     0.450     0.000,
1129,7.350 ,0.450 ,0.000 ,      1129,        3D,     7.350,     0.450,     0.000,      1129        3D     7.350     0.450     0.000,
1130,7.800 ,0.450 ,0.000 ,      1130,        3D,     7.800,     0.450,     0.000,      1130        3D     7.800     0.450     0.000,
1131,12.000 ,0.450 ,0.000 ,      1131,        3D,    12.000,     0.450,     0.000,      1131        3D    12.000     0.450     0.000,
1132,12.450 ,0.450 ,0.000 ,      1132,        3D,    12.450,     0.450,     0.000,      1132        3D    12.450     0.450     0.000,
1133,12.900 ,0.450 ,0.000 ,      1133,        3D,    12.900,     0.450,     0.000,      1133        3D    12.900     0.450     0.000,
1134,13.350 ,0.450 ,0.000 ,      1134,        3D,    13.350,     0.450,     0.000,      1134        3D    13.350     0.450     0.000,
1135,13.800 ,0.450 ,0.000 ,      1135,        3D,    13.800,     0.450,     0.000,      1135        3D    13.800     0.450     0.000,
1136,18.000 ,0.450 ,0.000 ,      1136,        3D,    18.000,     0.450,     0.000,      1136        3D    18.000     0.450     0.000,
1137,18.450 ,0.450 ,0.000 ,      1137,        3D,    18.450,     0.450,     0.000,      1137        3D    18.450     0.450     0.000,
1138,18.900 ,0.450 ,0.000 ,      1138,        3D,    18.900,     0.450,     0.000,      1138        3D    18.900     0.450     0.000,
1139,19.350 ,0.450 ,0.000 ,      1139,        3D,    19.350,     0.450,     0.000,      1139        3D    19.350     0.450     0.000,
1140,19.800 ,0.450 ,0.000 ,      1140,        3D,    19.800,     0.450,     0.000,      1140        3D    19.800     0.450     0.000,
1141,0.000 ,0.900 ,0.000 ,      1141,        3D,     0.000,     0.900,     0.000,      1141        3D     0.000     0.900     0.000,
1142,0.450 ,0.900 ,0.000 ,      1142,        3D,     0.450,     0.900,     0.000,      1142        3D     0.450     0.900     0.000,
1143,0.900 ,0.900 ,0.000 ,      1143,        3D,     0.900,     0.900,     0.000,      1143        3D     0.900     0.900     0.000,
1144,1.350 ,0.900 ,0.000 ,      1144,        3D,     1.350,     0.900,     0.000,      1144        3D     1.350     0.900     0.000,
1145,1.800 ,0.900 ,0.000 ,      1145,        3D,     1.800,     0.900,     0.000,      1145        3D     1.800     0.900     0.000,
1146,6.000 ,0.900 ,0.000 ,      1146,        3D,     6.000,     0.900,     0.000,      1146        3D     6.000     0.900     0.000,
1147,6.450 ,0.900 ,0.000 ,      1147,        3D,     6.450,     0.900,     0.000,      1147        3D     6.450     0.900     0.000,
1148,6.900 ,0.900 ,0.000 ,      1148,        3D,     6.900,     0.900,     0.000,      1148        3D     6.900     0.900     0.000,
1149,7.350 ,0.900 ,0.000 ,      1149,        3D,     7.350,     0.900,     0.000,      1149        3D     7.350     0.900     0.000,
1150,7.800 ,0.900 ,0.000 ,      1150,        3D,     7.800,     0.900,     0.000,      1150        3D     7.800     0.900     0.000,
1151,12.000 ,0.900 ,0.000 ,      1151,        3D,    12.000,     0.900,     0.000,      1151        3D    12.000     0.900     0.000,
